ANIO FISCAL;ACTIVIDAD ECONÓMICA;TOTAL GASTOS (798);TOTAL COSTOS (797);TOTAL IMPUESTO CAUSADO (839)
2006;C239109;NA;NA;178.56
2006;C239201;NA;NA;83814.27
2006;C239202;2833893.78;12515051.84;1041209.02
2006;C239203;14504641.89;26184040.52;712327.4
2006;C239302;11137.29;0;94.58
2006;C239303;NA;NA;49111.36
2006;C239304;NA;NA;2129.58
2006;C239401;NA;NA;31629968.65
2006;C239402;NA;NA;55767.02
2006;C239501;49928.61;4516967.56;714403.82
2006;C239502;NA;NA;8542.25
2006;C239503;178373.4;5792958.6;109830.18
2006;C239504;NA;NA;236913.46
2006;C239506;NA;NA;539.95
2006;C239509;NA;NA;27.5
2006;C239601;0;0;26975.7
2006;C239902;NA;NA;25805.27
2006;C239904;NA;144999.9;189659.06
2006;C239907;NA;NA;265.37
2006;C241011;NA;NA;5413765.08
2006;C241013;NA;NA;3338457.29
2006;C241021;NA;NA;460368.12
2006;C241024;NA;NA;13258.18
2006;C241025;NA;NA;84106.58
2006;C241029;106.38;716.04;235614.48
2006;C242011;0;0;0
2006;C242022;NA;NA;2522.67
2006;C242023;NA;NA;61203.92
2006;C242024;NA;NA;13376.52
2006;C242025;0;0;822871.25
2006;C242026;NA;NA;14774.78
2006;C243101;NA;NA;3921.58
2006;C243102;NA;NA;5695.13
2006;C243103;NA;NA;1223.33
2006;C243201;622847.78;7771862.85;289259.16
2006;C251101;674062.1;1275648.37;133063.65
2006;C251102;NA;NA;824.43
2006;C251103;1409734.95;1572119.86;151043.45
2006;C251104;NA;NA;119.76
2006;C251105;NA;NA;492937.48
2006;C251201;NA;NA;46592.15
2006;C251202;NA;NA;35986.72
2006;C251203;NA;NA;33063.35
2006;C251204;NA;NA;47936.55
2006;C251301;0;0;1141.37
2006;C251303;NA;NA;147.48
2006;C252002;NA;NA;106084.76
2006;C259100;100431.5;260860.47;579013.93
2006;C259201;701538.03;188476.18;61962.17
2006;C259202;NA;NA;4551.96
2006;C259203;NA;NA;13955.84
2006;C259204;NA;NA;7810.86
2006;C259311;NA;NA;79797.53
2006;C259321;NA;NA;465.29
2006;C259325;8117.91;44507.58;24070.11
2006;C259326;NA;NA;24081.53
2006;C259911;162670.57;36336755.04;867824.11
2006;C259912;NA;NA;1688521.64
2006;C259913;0;0;470.35
2006;C259915;NA;NA;28826.13
2006;C259916;NA;NA;27307.33
2006;C259918;1838.42;96041.44;1018.28
2006;C259921;NA;NA;23801.39
2006;C259923;NA;NA;67089.88
2006;C259930;NA;NA;3142.26
2006;C259993;30764.88;64693.62;13501.9
2006;C259996;NA;NA;4947.13
2006;C259999;NA;NA;11496.8
2006;C261011;NA;NA;75.37
2006;C263004;NA;NA;149.83
2006;C263005;NA;NA;425.63
2006;C263006;105092.76;0;12269.27
2006;C263009;NA;NA;24647.92
2006;C264001;NA;NA;47930.48
2006;C264002;NA;NA;2243.23
2006;C264003;NA;NA;7.52
2006;C264005;NA;NA;19227.47
2006;C264008;0;0;0
2006;C265115;NA;NA;21643.1
2006;C265121;NA;NA;0
2006;C265122;NA;NA;0
2006;C265129;NA;NA;3174.36
2006;C265130;0;0;4270.3
2006;C265131;NA;NA;621.82
2006;C265140;NA;NA;1012.66
2006;C267011;NA;NA;5171.11
2006;C267024;NA;NA;3867.06
2006;C267030;NA;NA;3063.39
2006;C271011;NA;NA;24064.63
2006;C271013;NA;NA;1678.1
2006;C271015;NA;NA;2091.15
2006;C271022;NA;NA;22557.74
2006;C271024;0;0;339844.69
2006;C271030;522275.69;14328.22;219554.23
2006;C272001;NA;NA;82024.05
2006;C272002;1739.04;0;202320.42
2006;C273101;NA;NA;0
2006;C273201;NA;NA;397632.43
2006;C273301;NA;NA;283774.77
2006;C274002;NA;NA;54290.89
2006;C274004;NA;NA;0
2006;C274006;331.53;0;48651.76
2006;C275001;NA;NA;0
2006;C275002;NA;NA;1660720.42
2006;C275003;NA;NA;10453.81
2006;C279012;202541.54;81916.03;6674.09
2006;C279013;NA;NA;10041.97
2006;C279015;NA;NA;6152.63
2006;C279019;NA;NA;1512.99
2006;C281101;NA;NA;4015.44
2006;C281104;17503.23;91521.27;60389.87
2006;C281105;NA;NA;389.64
2006;C281202;NA;NA;13377.59
2006;C281302;NA;NA;29293.09
2006;C281303;NA;NA;584246.99
2006;C281402;NA;NA;15486.62
2006;C281403;NA;NA;8932.81
2006;C281501;NA;NA;35662.45
2006;C281504;NA;NA;9299.44
2006;C281601;NA;NA;0
2006;C281602;NA;NA;1643.28
2006;C281604;NA;NA;84700.52
2006;C281709;NA;NA;451.3
2006;C281803;NA;NA;3038.45
2006;C281911;NA;NA;4139.62
2006;C281912;NA;NA;1433.74
2006;C281913;NA;NA;5538.38
2006;C281914;NA;NA;107490.24
2006;C281921;NA;NA;4621.93
2006;C281922;NA;NA;0
2006;C281923;0;0;0
2006;C281925;NA;NA;8845.6
2006;C281930;0;0;349819.07
2006;C281931;28307.64;317284.84;50801.53
2006;C281932;0;0;8674.65
2006;C281996;0;0;20514.43
2006;C281997;NA;NA;93448.73
2006;C281998;NA;NA;945.91
2006;C282101;NA;NA;5662.76
2006;C282102;NA;NA;634.79
2006;C282104;NA;NA;0
2006;C282105;NA;NA;9213.71
2006;C282107;NA;NA;14584.16
2006;C282110;NA;NA;329.3
2006;C282111;NA;NA;0
2006;C282112;NA;NA;1859.95
2006;C282201;NA;NA;65558.6
2006;C282303;0;0;3672.08
2006;C282404;NA;NA;150057.97
2006;C282405;NA;NA;354.45
2006;C282406;NA;NA;151.19
2006;C282502;NA;NA;345
2006;C282508;NA;NA;9892.64
2006;C282509;NA;NA;497.53
2006;C282920;207560.99;3843.08;10260.05
2006;C282991;NA;NA;744.1
2006;C282997;NA;NA;19704.78
2006;C282998;NA;NA;29168.44
2006;C291001;NA;NA;14001490.36
2006;C291005;NA;NA;7851.73
2006;C291006;NA;NA;0
2006;C292001;656.16;0;94769.29
2006;C292002;NA;NA;866.01
2006;C292004;NA;NA;2463.64
2006;C293009;1527688.15;4467621.4;616718.31
2006;C301101;NA;NA;190644.92
2006;C301102;NA;NA;1065.72
2006;C301103;NA;NA;5526.52
2006;C301104;NA;NA;50166.76
2006;C301105;0;0;47578.12
2006;C301201;0;0;5814.64
2006;C301203;NA;NA;6045.71
2006;C301209;NA;NA;5688.34
2006;C302003;NA;NA;34096.22
2006;C302005;NA;NA;3146.89
2006;C303004;NA;NA;288.9
2006;C303005;NA;NA;8047.26
2006;C309101;NA;NA;67925.96
2006;C309201;NA;NA;0
2006;C309901;7044.41;29312.51;22.04
2006;C310001;164959.14;750042.67;189987.34
2006;C310002;32476.54;295449.06;76999.92
2006;C310003;NA;NA;2239.27
2006;C310004;NA;NA;16333.78
2006;C310005;NA;NA;1362651.47
2006;C310006;NA;NA;2043.79
2006;C310007;NA;NA;4297.26
2006;C310008;0;0;87182.76
2006;C321102;0;0;3278.02
2006;C321103;NA;NA;6638.93
2006;C321107;NA;NA;15566.3
2006;C321108;NA;NA;5442.04
2006;C321201;2097.88;NA;726.27
2006;C322009;NA;NA;4824.47
2006;C323001;NA;NA;2158.64
2006;C324003;NA;NA;705.42
2006;C324009;NA;NA;16382.87
2006;C325012;NA;NA;82.01
2006;C325013;0;0;3190.28
2006;C325014;NA;NA;7198.64
2006;C325015;NA;NA;273.24
2006;C325016;NA;NA;29666.09
2006;C325024;NA;NA;8913.26
2006;C325030;283318.43;463668.85;77588.79
2006;C329011;NA;NA;482.26
2006;C329013;2960.69;0;0
2006;C329021;NA;NA;8593.67
2006;C329032;NA;NA;28651.71
2006;C329034;NA;NA;93.2
2006;C329035;NA;NA;40966.95
2006;C329036;NA;NA;408.3
2006;C329039;196712.15;473670.59;9353.26
2006;C329040;NA;NA;762.91
2006;C331101;NA;NA;7162.55
2006;C331102;NA;NA;0
2006;C331103;NA;NA;6330.1
2006;C331211;NA;NA;514.95
2006;C331212;NA;NA;0
2006;C331213;NA;NA;145.91
2006;C331214;NA;NA;0
2006;C331216;6965.17;1512364.21;203167.71
2006;C331217;NA;NA;8703.37
2006;C331291;469507.96;173488.21;38286.04
2006;C331292;NA;NA;1790.72
2006;C331293;NA;NA;2398.87
2006;C331299;0;0;5781.23
2006;C331301;NA;NA;2047.29
2006;C331302;NA;NA;4402.87
2006;C331401;NA;NA;5090.7
2006;C331403;98757.29;106836.44;2358.2
2006;C331409;NA;NA;34894.95
2006;C331501;NA;NA;318.53
2006;C331504;NA;NA;2391.69
2006;C331505;NA;NA;8.6
2006;C332001;NA;NA;112888.08
2006;C332009;NA;NA;261.37
2006;D351001;4322503.86;4614822.07;24278617.18
2006;D352001;NA;NA;0
2006;D352003;NA;NA;8358.83
2006;D353001;NA;NA;98114.52
2006;D353002;0;0;0
2006;E360001;19017.15;134279.03;5396799.19
2006;E360003;NA;NA;0
