Fecha "Riesgo País"
2011-03-30T00:00:00Z 780
2011-03-31T00:00:00Z 780
2011-04-01T00:00:00Z 778
2011-04-02T00:00:00Z 778
2011-04-03T00:00:00Z 778
2011-04-04T00:00:00Z 743
2011-04-05T00:00:00Z 736
2011-04-06T00:00:00Z 730
2011-04-07T00:00:00Z 736
2011-04-08T00:00:00Z 734
2011-04-09T00:00:00Z 734
2011-04-10T00:00:00Z 734
2011-04-11T00:00:00Z 734
2011-04-12T00:00:00Z 743
2011-04-13T00:00:00Z 745
2011-04-14T00:00:00Z 743
2011-04-15T00:00:00Z 751
2011-04-16T00:00:00Z 751
2011-04-17T00:00:00Z 751
2011-04-18T00:00:00Z 785
2011-04-19T00:00:00Z 785
2011-04-20T00:00:00Z 779
2011-04-21T00:00:00Z 780
2011-04-22T00:00:00Z 780
2011-04-23T00:00:00Z 780
2011-04-24T00:00:00Z 780
2011-04-25T00:00:00Z 785
2011-04-26T00:00:00Z 790
2011-04-27T00:00:00Z 774
2011-04-28T00:00:00Z 779
2011-04-29T00:00:00Z 782
2011-04-30T00:00:00Z 782
2011-05-01T00:00:00Z 782
2011-05-02T00:00:00Z 782
2011-05-03T00:00:00Z 784
2011-05-04T00:00:00Z 785
2011-05-05T00:00:00Z 790
2011-05-06T00:00:00Z 793
2011-05-07T00:00:00Z 793
2011-05-08T00:00:00Z 793
2011-05-09T00:00:00Z 796
2011-05-10T00:00:00Z 790
2011-05-11T00:00:00Z 793
2011-05-12T00:00:00Z 764
2011-05-13T00:00:00Z 767
2011-05-14T00:00:00Z 767
2011-05-15T00:00:00Z 767
2011-05-16T00:00:00Z 771
2011-05-17T00:00:00Z 773
2011-05-18T00:00:00Z 769
2011-05-19T00:00:00Z 770
2011-05-20T00:00:00Z 787
2011-05-21T00:00:00Z 787
2011-05-22T00:00:00Z 787
2011-05-23T00:00:00Z 787
2011-05-24T00:00:00Z 788
2011-05-25T00:00:00Z 803
2011-05-26T00:00:00Z 808
2011-05-27T00:00:00Z 810
2011-05-28T00:00:00Z 810
2011-05-29T00:00:00Z 810
2011-05-30T00:00:00Z 810
2011-05-31T00:00:00Z 799
2011-06-01T00:00:00Z 806
2011-06-02T00:00:00Z 809
2011-06-03T00:00:00Z 807
2011-06-04T00:00:00Z 807
2011-06-05T00:00:00Z 807
2011-06-06T00:00:00Z 808
